type,title,startDate,endDate,timestamp,location,url,eventType,videocast,description,keywords,Notes
BIOINFORMATICS-SIG-L listserv,Systems Immunology,2019/03/13,2019/03/16,1552435200,"Cold Spring Harbor, NY",https://meetings.cshl.edu/meetings.aspx?meet=SYSIMM&year=19,Conference,no,"The meeting is intended to promote cross-disciplinary exchange between experimental, computational and mathematical biologists studying the organization, functions and regulation of the immune system at various scales. Our goal is to establish a recurrent forum that brings together immunologists and systems biologists in this nascent field.",immunology,
BIOINFO-GENERAL-NCI listserv,BioC 2019,2019/06/25,2019/06/26,1561420800,Rockefeller University,http://bioc2018.bioconductor.org,Workshop,no," To see a list of past workshops, visit http://bioc2018.bioconductor.org.","bioconductor,genomic data",
BIOINFO-GENERAL-NCI listserv,High-Throughput Biology: From Sequence to Networks CSHL Course,2019/03/11,2019/03/17,1552262400,"1 Bungtown Road Cold Spring Harbor, NY 11724-2213",https://meetings.cshl.edu/courses.aspx?course=C-cbw&year=19,Workshop,no,"The course will begin with the workflow involved in moving from platform images to sequence generation, after which participants will gain practical skills for evaluating sequence read quality, mapping reads to a reference genome, and analyzing sequence reads for variation and expression level. The course will conclude with pathway and network analysis on the resultant 'gene' list. Participants will gain experience in cloud computing and data visualization tools. All class exercises will be self-contained units that include example data (e.g., Illumina paired-end data) as well as detailed instructions for installing all required bioinformatics tools.",,
BIOINFORMATICS-SIG-L listserv,NCBI Biodata Science Hackathon,2019/02/20,2019/02/22,1550620800,NIH Main Campus,https://ncbiinsights.ncbi.nlm.nih.gov/2018/12/20/suggest-project-nih-biodata-hackathon/,Hackathon,no,"The NCBI will host a collaborative biodata science hackathon on the NIH Campus in Bethesda, Maryland!
We are now collecting project proposals focusing on building tools and pipelines for advanced analysis of biomedical datasets including text, images, next generation sequencing data, proteomics, and metadata. Proposals for tutorial pipelines and educational tools for advanced analysis are also welcome. We will choose five to eight proposals for the hackathon. We will create groups of five to six individuals who have various backgrounds and applicable expertise to work on each project. Cloud infrastructure will also be provided to turn your idea into a working prototype. You can either choose to lead your project team or recommend someone. Otherwise, we will attempt to find a suitable team lead. The hackathon runs from 9 am - 5 pm each day with an optional social event on the evening of the second day.

Submit your project proposal here https://www.surveymonkey.com/r/Feb2019_NCBI_hackathon!  Submissions are due by January 7th 2019.","hackathon,biomedical data",
NIHLIB-L listserv,Electronic Lab Notebook (ELN) Forum,2019/03/11,2019/03/11,1552262400,"NIH Main Campus, Lipsett Amphitheater, Building 10",https://www.nihlibrary.nih.gov/electronic-lab-notebook-forum,Meeting,no,"Presented by the NIH Library, this one-day event will focus on exploring the benefits and challenges of ELN implementation and use. The program will include presentations on a variety of ELN solutions from industry experts, followed by presentations from NIH staff who will address ELN usability, administration, and security.

Additional details will be forthcoming as the event draws closer, but be sure to save the date for this exciting event on your 2019 calendars now. For more information, contact Candace Norton (candace.norton@nih.gov).",ELN,
BIOINFO-GENERAL-NCI listserv,Modern Longitudinal Data Analysis: Linear and Nonlinear Mixed Effects Models Using R,2019/02/20,2019/02/22,1550620800,"Thurgood Marshall Room, Room 2113
Adele H. Stamp Student Union
University of Maryland
College Park, MD 20742",https://education.umd.edu/LONGITUDINAL-2019,Seminar,yes,"This three-day short course is intended as both a theoretical and practical introduction to modern statistical techniques for longitudinal data analysis as it pertains to methods regularly used in educational, behavioral, and social science research. An understanding of modern longitudinal data analytic methods will be developed by relating it to participants’ existing knowledge of traditional statistical methods, particularly multiple linear regression. A participant’s experience in this workshop will be enhanced by additional prior coursework or knowledge of advanced statistical techniques such as multilevel modeling. 

An outline of topics covered during the three-day short course follow sound principles of any data analytic endeavor. The course begins with discussion of longitudinal designs, data management, and exploratory data analysis. Linear mixed-effects models focusing on specifying a model for individuals, means, variances, and covariances will be presented. Maximum likelihood and Bayesian estimation approaches will be discussed as a precursor to drawing inferences through the hypothesis testing paradigm. On the third day, nonlinear longitudinal models will be presented and many extensions to basic models will be discussed.

Examples used in this short course draw primarily from social and behavioral science research, including the fields of education and psychology. Datasets will be made available to participants as well as R scripts to run the examples and annotated output. Throughout the course, participants will be able to practice exercises using R statistical software and because it is freely available, participants are encouraged to bring their own laptops with R pre-installed to perform these exercises. Participants will be instructed on how to download R prior to the course.","statistics,data analysis,R",
MICROBIOME listserv,"NICBR Winter Symposium ""Novel Therapeutics""",2019/01/24,2019/01/24,1548288000,"National Cancer Institute at Frederick, Bldg. 549",https://ncifrederick.cancer.gov/events/conferences/nicbr-winter-symposium-novel-therapeutics,Symposium,no,"This symposium will feature talks from the Frederick research community on novel therapeutics for infectious diseases, cancer and autoimmunity.","antibiotic-resistant bacteria,natural product modulators,personalized therapies",
STRUCTBIOLIG listserv,HFIR/SNS Advanced Neutron Diffraction and Scattering Workshop,2019/06/09,2019/06/14,1560038400,"Oak Ridge National Laboratory, 8640 Nano Center Drive Oak Ridge, TN 37830",https://conference.sns.gov/event/125/,Workshop,no,"The workshop aims at enabling structural biologists to fully exploit the latest instrumentation and software development at the SNS and HFIR facilities at Oak Ridge National Laboratory. Participants of HANDS 2019 will become familiar with neutron techniques with hands-on experiments in sample preparation, crystallography, small angle scattering, reflectometry and neutron spin echo. The workshop is designed for graduate students, post-doctoral fellows and faculty with limited to no experience with neutron sciences.","structural biology,neutron techniques",
MICROBIOME listserv,Generating High-quality Genome Drafts from Uncultured Microbiome Samples with a Single Shotgun Experiment,2019/02/13,2019/02/13,1550016000,Online only,https://www.10xgenomics.com/event/generating-high-quality-genome-drafts-from-uncultured-microbiome-samples/,Webinar,yes,"This webinar will feature a presentation on a recently published method for de novo assembly of microbial genome drafts using short read sequencing. The method uses Chromium Linked-Read sequencing and a novel computational analysis pipeline, Athena, to construct high-quality microbial genome drafts of metagenomic communities sampled directly from their environments. In uncultured samples from human stool, Athena produced individual genome drafts with high contiguity (>200-kb N50, fewer than ten contigs), even for bacteria with relatively low raw short-read sequence coverage. Compared with results from existing short-read and synthetic long-read metagenomic sequencing techniques, the Athena assemblies are the most contiguous reported to date.","de novo assembly,Athena,short-read sequencing",
MICROBIOME listserv,Consortium on Translational Research in the Microbiome,2019/01/25,2019/01/25,1548374400,Online only,https://www.westchesterbiotechproject.org/microbiome-ctrm,Webinar,yes,"This ongoing Roundtable addresses data generation, collection, sequencing, analysis, and harmonizing systems to accelerate relevant, reproducible research. After briefs from our speakers, you’ll be invited to introduce yourself and your venue (institute or industry). This is your opportunity to discuss best practices and lessons learned with your peers.","DNA extraction,reproducibility,data analytics",
